Disease,Keyword,Website,Symptoms
Atopic Dermatitis,Contact Dermatitis,https://www.cdc.gov/oralhealth/infectioncontrol/faqs/latex.html," runny nose, sneezing, itchy eyes, scratchy throat, hives, and itchy burning sensations. However, it can involve more severe symptoms, such as asthma, marked by difficult breathing, coughing spells, and wheezing; cardiovascular and gastrointestinal ailments; and in rare cases, anaphylaxis and death."
Atopic Dermatitis,Contact Dermatitis,https://www.cedars-sinai.org/health-library/diseases-and-conditions/c/contact-dermatitis.html,"Mild redness and swelling of the skin
Blistering of the skin
Itching or burning of the skin
Scaly, thickened skin"
Atopic Dermatitis,Contact Dermatitis,https://medlineplus.gov/ency/article/000869.htm,"Symptoms vary, depending on the cause and whether the dermatitis is due to an allergic reaction or an irritant. The same person may also have different symptoms over time.Allergic reactions may occur suddenly, or develop after months or years of exposure. Contact dermatitis often occurs on the hands. Hair products, cosmetics, and perfumes can lead to skin reactions on the face, head, and neck. Jewelry can also cause skin problems in the area under it.Itching is a common symptom. In the case of an allergic dermatitis, itching can be severe. You may have red, streaky, or patchy rash where the substance touched the skin. The allergic reaction is often delayed so that the rash may not appear until 24 to 48 hours after exposure. The rash may:Have red bumps that may form moist, weeping blistersFeel warm and tenderOoze, drain, or crustBecome scaly, raw, or thickened Dermatitis caused by an irritant may also cause burning or pain as well as itching. Irritant dermatitis often shows as dry, red, and rough skin. Cuts (fissures) may form on the hands. Skin may become inflamed with long-term exposure."
Atopic Dermatitis,Contact Dermatitis,https://www.nhs.uk/conditions/contact-dermatitis/,"Contact dermatitis causes the skin to become itchy, blistered, dry and cracked.Lighter skin can become red, and darker skin can become dark brown, purple or grey.This reaction usually occurs within a few hours or days of exposure to an irritant or allergen.SymptomsÂ can affect any part of the body but most commonly the hands and face.Read about symptoms of contact dermatitis"
Scabies Lyme Diease and other Infestations and Bites,coral poisoning,https://en.wikipedia.org/wiki/Palytoxin,"The symptoms of palytoxin poisoning and how quickly they appear depend partially on how much and through what route one has been exposed, e.g. if the poison has been inhaled or if the exposure has happened via skin.
"
Scabies Lyme Diease and other Infestations and Bites,coral poisoning,"https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/healthy+living/protecting+your+health/your+home/palytoxin+poisoning+marine+aquarium+safety#:~:text=Respiratory%20symptoms%3A%20wheezing%2C%20tight%20chest,%2C%20blurred%20vision%2C%20corneal%20ulceration.","Flu-like symptoms such as coughing, fever, chills, sore throat, headache, muscle aches, chest pain, respiratory distress.
Skin symptoms:  rash (hives), itching, numbness, dermatitis.
Respiratory symptoms: wheezing, tight chest, shortness of breath, runny nose, fluid in the lungs.
Gastrointestinal symptoms: abdominal cramps, nausea, vomiting, diarrhoea.
Ocular symptoms, conjunctivitis, photophobia, blurred vision, corneal ulceration.
Neurological symptoms: fatigue, dizziness, speech disturbance, bitter metallic taste, tremors, tingling or numbness of extremities.
Muscle symptoms: pain, weakness, cramps, spasms.
Cardiac effects: irregular, slow, fast hear rate, cardiac muscle damage, low or high blood pressure"
Scabies Lyme Diease and other Infestations and Bites,coral poisoning,"https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/healthy+living/protecting+your+health/your+home/palytoxin+poisoning+marine+aquarium+safety#:~:text=Neurological%20symptoms%3A%20fatigue%2C%20dizziness%2C,low%20or%20high%20blood%20pressure","Flu-like symptoms such as coughing, fever, chills, sore throat, headache, muscle aches, chest pain, respiratory distress.
Skin symptoms:  rash (hives), itching, numbness, dermatitis.
Respiratory symptoms: wheezing, tight chest, shortness of breath, runny nose, fluid in the lungs.
Gastrointestinal symptoms: abdominal cramps, nausea, vomiting, diarrhoea.
Ocular symptoms, conjunctivitis, photophobia, blurred vision, corneal ulceration.
Neurological symptoms: fatigue, dizziness, speech disturbance, bitter metallic taste, tremors, tingling or numbness of extremities.
Muscle symptoms: pain, weakness, cramps, spasms.
Cardiac effects: irregular, slow, fast hear rate, cardiac muscle damage, low or high blood pressure"
Scabies Lyme Diease and other Infestations and Bites,coral poisoning,https://www.cedars-sinai.org/health-library/diseases-and-conditions/v/venomous-snakebites.html,"Flu-like symptoms such as coughing, fever, chills, sore throat, headache, muscle aches, chest pain, respiratory distress.
Skin symptoms:  rash (hives), itching, numbness, dermatitis.
Respiratory symptoms: wheezing, tight chest, shortness of breath, runny nose, fluid in the lungs.
Gastrointestinal symptoms: abdominal cramps, nausea, vomiting, diarrhoea.
Ocular symptoms, conjunctivitis, photophobia, blurred vision, corneal ulceration.
Neurological symptoms: fatigue, dizziness, speech disturbance, bitter metallic taste, tremors, tingling or numbness of extremities.
Muscle symptoms: pain, weakness, cramps, spasms.
Cardiac effects: irregular, slow, fast hear rate, cardiac muscle damage, low or high blood pressure"
Scabies Lyme Diease and other Infestations and Bites,coral poisoning,https://www.nhs.uk/conditions/poisoning/symptoms/,"General symptoms of poisoning can include:feeling and being sickdiarrhoeastomach paindrowsiness, dizziness or weaknesshigh temperaturechills (shivering)loss of appetiteheadacheirritabilitydifficulty swallowing (dysphagia)breathing difficultiesproducing more saliva than normalskin rashblue lips and skin (cyanosis)burns around the nose or mouthdoubleÂ visionÂ or blurred visionmental confusionseizures (fits)loss of consciousnesscoma, in severe cases"
Lupus and other Connective Tissue diseases,Crest Syndrome,https://my.clevelandclinic.org/health/diseases/scleroderma,"Joint pain.
Stiffness (especially when waking up in the morning).
Fatigue (feeling extremely tired all the time).
Unexplained weight loss.
"
Lupus and other Connective Tissue diseases,Crest Syndrome,https://my.clevelandclinic.org/health/diseases/4910-pediatric-systemic-scleroderma,Juvenile systemic scleroderma (systemic sclerosis) is a condition that causes your childâ€™s skin to become unusually thick and hard. It may also cause symptoms that affect their organs. Systemic means that the condition affects your child's entire body.
Lupus and other Connective Tissue diseases,Crest Syndrome,https://en.wikipedia.org/wiki/CREST_syndrome,"NA
Calcinosis
CREST causes thickening and tightening of the skin with deposition of calcific nodules (""calcinosis"").

Raynaud's phenomenon
Raynaud's phenomenon is frequently the first manifestation of CREST/lcSSc, preceding other symptoms by years. Stress and cold temperature induce an exaggerated vasoconstriction of the small arteries, arterioles, and thermoregulatory vessels of the skin of the digits. Clinically this manifests as a white-blue-red transition in skin color. Underlying this transition is pallor and cyanosis of the digits, followed by a reactive hyperemia as they rewarm. When extreme and frequent, this phenomenon can lead to digital ulcerations, gangrene, or amputation. Ulceration can predispose to chronic infections of the involved site.

Esophageal dysmotility
Presents as a sensation of food getting stuck (dysphagia) in the mid- or lower esophagus, atypical chest pain, or cough. People often state they must drink liquids to swallow solid food. This motility problem results from atrophy of the gastrointestinal tract wall smooth muscle. This change may occur with or without pathologic evidence of significant tissue fibrosis.

Sclerodactyly
Though it is the most easily recognizable manifestation, it is not prominent in all patients. Thickening generally only involves the skin of the fingers distal to the metacarpophalangeal joints in CREST. Early in the course of the disease, the skin may appear edematous and inflamed. Eventually, dermal fibroblasts overproduce extracellular matrix leading to increased tissue collagen deposition in the skin. Collagen cross-linking then causes a progressive skin tightening. Digital ischemic ulcers commonly form on the distal fingers in 30–50% of patients.

Telangiectasias
Marked telangiectasias (dilated capillaries) occur on the skin of the face, the palmar surface of the hands, and the mucous membranes. Telangiectasias tend to be more numerous in people with other scleroderma related vascular disease (i.e., pulmonary arterial hypertension). The number of telangiectasias and the sites involved tend to increase over time.

Other
Other symptoms of CREST syndrome can be exhaustion, weakness, difficulties with breathing, pain in hands and feet, dizziness and badly healing wounds.

Patients with lcSSc commonly induce pulmonary artery hypertension which may result in cor pulmonale (heart failure due to increased pulmonary artery pressure)."
Lupus and other Connective Tissue diseases,Crest Syndrome,"https://www.msdmanuals.com/en-sg/home/bone,-joint,-and-muscle-disorders/autoimmune-disorders-of-connective-tissue/systemic-sclerosis","People who have this type develop skin tightening (scleroderma) over the face, hands, forearms, lower legs, and feet. People may also have gastroesophageal reflux disease. This type is progresses slowly and is often complicated by pulmonary hypertension, a condition in which blood pressure in the arteries of the lungs (the pulmonary arteries) is abnormally high."
Lupus and other Connective Tissue diseases,Crest Syndrome,https://my.clevelandclinic.org/health/diseases/scleroderma,"Scleroderma makes your body produce too much collagen, a protein that you need for healthy skin and tissue. Itâ€™s an autoimmune condition, which means your immune system attacks your body instead of protecting it. Scleroderma can cause lots of symptoms and affect tissue throughout your body. It can also lead to life-threatening complications."
Lupus and other Connective Tissue diseases,Crest Syndrome,https://www.cedars-sinai.org/health-library/diseases-and-conditions/s/scleroderma.html,"Scleroderma can lead to scarring of the skin, joints, and internal organs. Symptoms can be a bit different for each person, and may include:

Calcium bumps on the fingers or other bony areas
Grating noise as inflamed tissues move
Heart failure and abnormal heart rhythms
Immovable fingers, wrists, or elbows because of scarring, hardening, and tightening of the skin
Joint pain
Kidney disease
Pale and tingly fingers that may turn numb when exposed to cold or during emotional upset (Raynaud’s phenomenon)
Scarring of the esophagus. This leads to heartburn and trouble swallowing.
Scarring of the lungs. This leads to shortness of breath.
Sores on fingertips and knuckles
Spider veins
Tight, shiny, darker skin on large areas that may cause problems with movement
Fingertips get thick and swollen"
Lupus and other Connective Tissue diseases,Crest Syndrome,https://medlineplus.gov/ency/imagepages/19507.htm,"The ""C"" stands for calcinosis, where calcium deposits form under the skin on the fingers or other areas of the body. The ""R"", stands for Raynaud's phenomenon, spasm of blood vessels in the fingers or toes in response to cold or stress. The ""E"" represents esophageal dysmotility, which can cause difficulty in swallowing. The ""S"" is for sclerodactyly, tightening of the skin causing the fingers to bend. Finally, the letter ""T"" is for telangiectasia, dilated vessels on the skin of the fingers, face, or inside of the mouth."
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://www.healthline.com/health/cutaneous-larva-migrans,"Red, twisting lesions that grow. CLM presents as a red lesion that has a twisting, snake-like pattern. This is due to the movement of the larvae under your skin. Lesions can move up to 2 centimeters in a day. Itchiness and discomfort. CLM lesions may itch, sting, or be painful. Swelling. Swelling can also be present. Lesions on the feet and backside. CLM can occur anywhere on the body, although it most often occurs on areas likely to be exposed to contaminated soil or sand, such as the feet, buttocks, thighs, and hands."
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://my.clevelandclinic.org/health/diseases/14072-hookworm-disease,"Skin rash on the feet where the larvae entered the body.
Fever.
Coughing or wheezing.
Abdominal pain.
Loss of appetite.
Diarrhea.
Weight loss.
Anemia."
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://www.healthline.com/health/cutaneous-larva-migrans,"The signs of CLM typically appear 1 to 5 days after infection, although sometimes it takes longer. Common signs and symptoms include:Red, twisting lesions that grow. CLM presents as a red lesion that has a twisting, snake-like pattern. This is due to the movement of the larvae under your skin. Lesions can move up to 2 centimeters in a day. Itchiness and discomfort. CLM lesions may itch, sting, or be painful. Swelling. Swelling can also be present. Lesions on the feet and backside. CLM can occur anywhere on the body, although it most often occurs on areas likely to be exposed to contaminated soil or sand, such as the feet, buttocks, thighs, and hands.Because CLM lesions can be intensely itchy, theyâ€™re often scratched. This can break the skin, increasing the risk for a secondary bacterial infection."
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://en.wikipedia.org/wiki/Cutaneous_larva_migrans,"The infection causes a red, intensely pruritic (itchy) eruption and may look like twirling lesions.[3] The itching can become very painful and if scratched may allow a secondary bacterial infection to develop. Cutaneous larva migrans usually heals spontaneously over weeks to months and has been known to last as long as one year.  However the severity of the symptoms usually causes those infected to seek medical treatment before spontaneous resolution occurs. After proper treatment, migration of the larvae within the skin is halted and relief of the associated itching can occur in less than 48 hours (reported for thiabendazole).
"
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://www.healthline.com/health/cutaneous-larva-migrans,"The signs of CLM typically appear 1 to 5 days after infection, although sometimes it takes longer. Common signs and symptoms include:Red, twisting lesions that grow. CLM presents as a red lesion that has a twisting, snake-like pattern. This is due to the movement of the larvae under your skin. Lesions can move up to 2 centimeters in a day. Itchiness and discomfort. CLM lesions may itch, sting, or be painful. Swelling. Swelling can also be present. Lesions on the feet and backside. CLM can occur anywhere on the body, although it most often occurs on areas likely to be exposed to contaminated soil or sand, such as the feet, buttocks, thighs, and hands.Because CLM lesions can be intensely itchy, they're often scratched. This can break the skin, increasing the risk for a secondary bacterial infection."
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://www.msdmanuals.com/en-sg/professional/dermatologic-disorders/parasitic-skin-infections/cutaneous-larva-migrans,"
Cutaneous larva migrans causes intense pruritus. Signs are erythema and papules at the site of entry, followed by a winding, threadlike subcutaneous trail of reddish brown inflammation. Patients may also develop papules and vesicles resembling folliculitis, called hookworm folliculitis.
"
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://wwwnc.cdc.gov/travel/yellowbook/2024/infections-diseases/cutaneous-larva-migrans,"Creeping eruption usually appears 1–5 days after skin penetration, but the incubation period may be ≥1 month. Typically, a serpiginous, erythematous track appears in the skin and is associated with intense itching and mild swelling. Usual locations are the feet, lower legs, and buttocks, but any skin surface (e.g., trunk, upper extremities) that contacts contaminated soil can be affected"
Scabies Lyme Diease and other Infestations and Bites,cutaneous larva migrans,https://rarediseases.info.nih.gov/diseases/1629/cutaneous-larva-migrans/,"Cutaneous larva migrans is a rare parasitic disease characterized by single or multiple, linear or serpiginous, erythematous, slightly elevated cutaneous tracks caused by the larval migration of various nematode species. Tracks are variable in length, generally a few millimeters wide and are frequently located on the feet (although any area of the body is possible). Patients typically present with severe, intractable pruritus, which, in some cases, may cause impaired concentration, loss of sleep, and mood disturbances."
Atopic Dermatitis,Dermatitis Areola,https://www.mayoclinic.org/diseases-conditions/pagets-disease-of-the-breast/symptoms-causes/syc-20351079,"Paget's disease of the breast affects your nipple and usually the skin (areola) surrounding it. It's easy to mistake the signs and symptoms of Paget's disease of the breast for skin irritation (dermatitis) or another noncancerous (benign) skin condition.Possible signs and symptoms of Paget's disease of the breast include:
Flaky or scaly skin on your nipple
Crusty, oozing or hardened skin resembling eczema on the nipple, areola or both
Itching
Redness
A tingling or burning sensation
Straw-colored or bloody nipple discharge
A flattened or turned-in (inverted) nipple
A lump in the breast
Thickening skin on the breast
"
Atopic Dermatitis,Dermatitis Areola,https://my.clevelandclinic.org/health/diseases/21960-breast-eczema,"Breast eczema (atopic dermatitis) is a condition that causes your skin to become dry, discolored, itchy and bumpy. It may appear in the dark areas around your nipples (areolas), between your breasts, under your breasts, on the sides of your breasts or elsewhere on your chest.

Breast eczema affects the skin on and around your breasts. Your skin may itch, change color, develop bumps, dry out or thicken.

In severe cases of breast eczema, your skin may crack or leak a thick, yellow or white fluid (pus).

Symptoms and Causes
What does eczema on the breast look like?
Symptoms of breast eczema include:

Itchy skin.
Dry skin.
Discolored rashes.
Bumps on your skin.
Leathery patches of skin.
Crusty skin.
Swelling.
Breast eczema doesn’t hurt. However, if you scratch your breast eczema, you may break your skin, leading to an infection that can cause pain."
Atopic Dermatitis,Dermatitis Areola,https://en.wikipedia.org/wiki/Breast_eczema,"Breast eczema  may affect the nipples, areolae, or surrounding skin, with eczema of the nipples being of the moist type with oozing and crusting, in which painful fissuring is frequently seen, especially in nursing mothers."
Atopic Dermatitis,Dermatitis Areola,https://my.clevelandclinic.org/health/diseases/22105-eczema-on-nipples,"People with nipple eczema develop a red, itchy, scaly rash on their nipples and areola. Your areola is part of your breast anatomy. It’s the dark circle of skin around your nipple. Nipple eczema can flare up or get worse every now and then. It may get better or even go away for a few weeks, months or years and then come back. Signs of nipple eczema include:

Dry, inflamed skin around your nipple.
Itchy, painful, burning or sensitive skin.
Nipple discharge.
Rash that has brown, red or gray patches or spots.
Scaly, dry skin that may peel, crust or scab over.
Small bumps that ooze fluid."
Atopic Dermatitis,Dermatitis Areola,https://www.msdmanuals.com/en-sg/home/skin-disorders/skin-cancers/paget-disease-of-the-nipple,"The skin in Paget disease of the nipple appears red, oozing, and crusting, similar to dermatitis but with a sharp border. Itching and pain are common."
Atopic Dermatitis,Dermatitis Areola,https://www.mayoclinic.org/diseases-conditions/pagets-disease-of-the-breast/symptoms-causes/syc-20351079,"Paget's disease of the breast affects your nipple and usually the skin (areola) surrounding it. It's easy to mistake the signs and symptoms of Paget's disease of the breast for skin irritation (dermatitis) or another noncancerous (benign) skin condition.Possible signs and symptoms of Paget's disease of the breast include:
Flaky or scaly skin on your nipple
Crusty, oozing or hardened skin resembling eczema on the nipple, areola or both
Itching
Redness
A tingling or burning sensation
Straw-colored or bloody nipple discharge
A flattened or turned-in (inverted) nipple
A lump in the breast
Thickening skin on the breast"
Atopic Dermatitis,Dermatitis Areola,https://www.cedars-sinai.org/health-library/diseases-and-conditions/p/pagets-disease-of-the-breast.html,"Mild redness and swelling of the skin
Blistering of the skin
Itching or burning of the skin
Scaly, thickened skin"
Atopic Dermatitis,Dermatitis Areola,https://www.nhs.uk/conditions/pagets-disease-nipple/,"Paget's disease of the nipple always starts in the nipple and may extend to the areola. ItÂ appears as a red, scalyÂ rash on the skin of theÂ nipple and areola.The affected skin is often sore and inflamed, and it can be itchy or cause a burning sensation. The nipple can sometimes be ulcerated.The rash is often similar in appearance to other skin conditions, such asÂ eczema or psoriasis. If you scratch it, or if it's left untreated, it can bleed, become ulcerated or scab over.If you're experiencing itchiness, burning or bleeding but the nipple looks normal and is not red or scaly, it's unlikely to be Paget's diseaseÂ of the nipple. However, you should still have it checked by a doctor.Around half of all women diagnosed with Paget's disease of the nipple have aÂ lump behind the nipple. In 9 out of 10 cases this is an invasive breast cancer.Invasive cancer is where cancerous cells invade the surrounding breast tissue.Â Some women with Paget's disease have invasive breast cancer but do not have a lump.However, most women with Paget's disease who do not have a lump have non-invasive cancer.This is where the cancerous cells are contained in 1 or more areas of the breast and have not spread."
Atopic Dermatitis,Dermatitis Lids,https://my.clevelandclinic.org/health/diseases/21930-eyelid-dermatitis,"Eyelid dermatitis develops when the folds of skin above and below your eyes come into contact with an allergen or irritant. It is a form of contact dermatitis. The symptoms are annoying, but shouldn't interfere with your daily life."
Atopic Dermatitis,Dermatitis Lids,https://my.clevelandclinic.org/health/diseases/21930-eyelid-dermatitis,"A red rash.
Stinging.
Scaly skin.
Burning.
Swollen skin.
Pain.
Itching.
Blistering.
Is eyelid dermatitis painful?
Eyelid dermatitis is painful to some people. It can also cause stinging and itching."
Atopic Dermatitis,Dermatitis Lids,https://en.wikipedia.org/wiki/Eyelid_dermatitis,"Dermatitis on the eyelids causes inflammation of the thin, sensitive skin around the eyes. The eyelids become irritated, swollen, dry, and reddened. It can affect one or both of the eyes. If this condition continues, the eyelids can be thickened by lichenification. If it is caused by an irritant or allergen, symptoms typically occur within a few hours or days of contact with a trigger substance. Symptoms should decrease when the trigger substance is removed.
"
Atopic Dermatitis,Dermatitis Lids,https://my.clevelandclinic.org/health/diseases/21930-eyelid-dermatitis,"Eyelid dermatitis develops when the folds of skin above and below your eyes come into contact with an allergen or irritant. Itâ€™s a form of contact dermatitis. The symptoms are annoying, but shouldnâ€™t interfere with your daily life.E319"
Atopic Dermatitis,Dermatitis Lids,https://www.cedars-sinai.org/health-library/diseases-and-conditions/a/atopic-dermatitis.html,"Mild redness and swelling of the skin
Blistering of the skin
Itching or burning of the skin
Scaly, thickened skin"
Benign Tumors,Dermatofibroma,https://my.clevelandclinic.org/health/diseases/23991-fibroma,"Fibromas are noncancerous tumors made up of fibrous tissue. They can occur almost anywhere in and on your body. Most fibromas donâ€™t cause symptoms. You may not even you know you have one. Fibromas occur for various reasons, but some have unknown causes. Treatment isnâ€™t usually necessary unless itâ€™s interfering with your life or causing symptoms."
Benign Tumors,Dermatofibroma,https://www.healthline.com/health/dermatofibromas,"Apart from the bumps on the skin, dermatofibromas rarely cause additional symptoms. The growths can range in color from pink to reddish to brown.

They are usually between 7 and 10 millimeters in diameter, although they can be smaller or larger than this range.

Dermatofibromas are also usually firm to the touch. They can also be mildly sensitive to the touch, although most don’t cause symptoms.

The growths can occur anywhere on the body but appear more often on exposed areas, such as the legs and arms."
Benign Tumors,Dermatofibroma,https://skinsight.com/skin-conditions/dermatofibroma/,"Dermatofibromas are most often found on the arms and legs of women. They are papules or nodules that may be tan, pink, red, or brown in lighter skin colors or any shade of brown in darker skin colors. They may have a whitish center. They feel quite firm or even hard, and sometimes they may be tender when touched. Many dermatofibromas demonstrate a “dimple sign,” where the central portion puckers as the lesion is compressed on the sides. They generally do not change in size over the years, but older dermatofibromas may be flat or soft."
Benign Tumors,Dermatofibroma,https://dermnetnz.org/topics/dermatofibroma,"A dermatofibroma usually presents as a solitary firm papule or nodule on a limb.

A dermatofibroma can occur anywhere on the skin.
Dermatofibroma size varies from 0.5–1.5 cm diameter; most lesions are 7–10 mm diameter.
A dermatofibroma is tethered to the skin surface and mobile over subcutaneous tissue.
The overlying skin dimples on pinching the lesion – the dimple or pinch sign.
Colour may be pink to light brown in white skin, and dark brown to black in dark skin; some appear paler in the centre.
Dermatofibromas do not usually cause symptoms, but they are sometimes painful, tender, or itchy.
Clinical variants include giant, eruptive, and multiple forms.

"
Benign Tumors,Dermatofibroma,"https://www.msdmanuals.com/en-sg/professional/dermatologic-disorders/benign-skin-tumors,-growths,-and-vascular-lesions/dermatofibromas","Dermatofibromas are firm, red-to-brown, small papules or nodules composed of fibroblastic tissue. They usually occur on the thighs or legs but can occur anywhere."
Benign Tumors,Dermatofibroma,https://my.clevelandclinic.org/health/diseases/22668-cellular-dermatofibroma,"Cellular dermatofibromas are a type of dermatofibroma (noncancerous tumor). They appear as firm bumps (nodules), often on your legs."
Benign Tumors,Dermatofibroma,https://rarediseases.info.nih.gov/diseases/9807/dermatofibroma/diagnosis/,"Dermatofibromas are usually single nodules that develop on an extremity, most commonly the lower legs. They are freely moving, firm-to-hard nodules of 0.5-1.0 cm diameter.
The skin's surface is generally smooth, occasionally scaly. The overlying skin may be tethered, causing it to dimple when pinched. The skin colour varies from skin-coloured to pink/red to cream/white to brown."
Lupus and other Connective Tissue diseases,Dermatomyositis,https://www.mayoclinic.org/diseases-conditions/dermatomyositis/symptoms-causes/syc-20353188,"Skin changes. A violet-colored or dusky red rash develops, most commonly on your face and eyelids and on your knuckles, elbows, knees, chest and back. The rash, which can be itchy and painful, is often the first sign of dermatomyositis.
Muscle weakness. Progressive muscle weakness involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders, upper arms and neck. The weakness affects both the left and right sides of your body, and tends to gradually worsen.
"
Lupus and other Connective Tissue diseases,Dermatomyositis,https://my.clevelandclinic.org/health/diseases/15701-dermatomyositis,"Dermatomyositis is a serious illness that in rare cases can be fatal. It's important to get diagnosed and start treatment as early as possible. While there is no cure for dermatomyositis, symptoms can often be managed with long-term (sometimes life-long) medications and physical therapy."
Lupus and other Connective Tissue diseases,Dermatomyositis,https://www.healthline.com/health/myositis,"purple-red rashes in the shape of the heliotrope flower. Muscle weakness normally follows. scaly, dry, or rough skin
Gottron’s papules or Gottron’s sign (bumps found over the knuckles, elbows, and knees, often with a raised, scaly breakout)
trouble rising from a seated position
fatigue
weakness in the neck, hip, back, and shoulder muscles
difficulty swallowing
hoarseness in the voice
hardened lumps of calcium under the skin
muscle pain
joint inflammation
nail-bed abnormalities
weight loss
irregular heartbeat
gastrointestinal ulcers"
Lupus and other Connective Tissue diseases,Dermatomyositis,https://en.wikipedia.org/wiki/Dermatomyositis," several kinds of skin rash along with muscle weakness in both upper arms or thighs
"
Lupus and other Connective Tissue diseases,Dermatomyositis,https://www.mayoclinic.org/diseases-conditions/dermatomyositis/symptoms-causes/syc-20353188,"The signs and symptoms of dermatomyositis can appear suddenly or develop gradually over time. The most common signs and symptoms include:
Skin changes. A violet-colored or dusky red rash develops, most commonly on your face and eyelids and on your knuckles, elbows, knees, chest and back. The rash, which can be itchy and painful, is often the first sign of dermatomyositis.
Muscle weakness. Progressive muscle weakness involves the muscles closest to the trunk, such as those in your hips, thighs, shoulders, upper arms and neck. The weakness affects both the left and right sides of your body, and tends to gradually worsen.
"
Lupus and other Connective Tissue diseases,Dermatomyositis,https://rarediseases.info.nih.gov/diseases/6263/dermatomyositis,"Dermatomyositis is an autoimmune condition that causes skin changes and muscle weakness. Symptoms can include a red skin rash around the eyelids, red bumps around the joints, and muscle weakness in the arms and legs. Muscle weakness gets worse over time and can lead to stiff joints and muscle wasting. The cause for Dermatomyositis is unknown. Diagnosis is made through a clinical exam and microscopic examination of a piece of skin and muscle."
Lupus and other Connective Tissue diseases,Dermatomyositis,https://www.cedars-sinai.org/health-library/diseases-and-conditions/d/dermatomyositis.html,"Red or purple rash on sun-exposed areas that may be painful or itchy
Red or purple swelling of the upper eyelids
Red or purple spots on the knuckles, elbows, knees, and toes (Gottron papules)
Joints that feel stiff and turn pale and painful in cold conditions and feel better when warmed (Raynaud phenomenon)
Scaly, rough, dry skin, which can lead to hair thinning
Swollen, red areas around the fingernails
Hard lumps under the skin caused by calcium deposits (calcinosis)
Muscle weakness in the neck, hip, back, and shoulders
Muscle aches
Trouble swallowing and voice changes
Tiredness, fever, and weight loss
Trouble getting up from a chair or getting out of bed due to muscle weakness
Sometimes the muscle inflammation can spread to other parts of the body including the heart, gastrointestinal tract, and lungs. Lung involvement can cause breathing trouble and coughing. Adults may have a low-grade fever, along with lung inflammation and sensitivity to light"
Lupus and other Connective Tissue diseases,Dermatomyositis,https://medlineplus.gov/myositis.html,"Dermatomyositis causes muscle weakness, plus a skin rash.

Other symptoms of myositis may include:

Fatigue after walking or standing
Tripping or falling
Trouble swallowing or breathing"
Lupus and other Connective Tissue diseases,Dermatomyositis,https://www.nhs.uk/conditions/myositis/,"The main symptom of myositis is muscle weakness, which can start very gradually and cause you to trip or fall over a lot.You may also find it difficult to do things like:get up from a chairclimb stairslift objects, such as a cup of teacomb your hairThere are different types of myositis. Polymyositis and dermatomyositis are the most common.Depending on the type, other symptoms can include:painful or aching musclesfeeling very tiredweight lossnight sweatsa patchy, red rash, usually on the eyelids, face, neck and the backs of the hands â€“ this can look different on brown or black skinproblems with swallowing (dysphagia) or breathing There may be times when your symptoms are better than at other times. "
Atopic Dermatitis,diaper Derm,https://www.mayoclinic.org/diseases-conditions/diaper-rash/symptoms-causes/syc-20371636,"Inflamed skin in the diaper area and buttocks, thighs and genitals
Itchy, tender skin in the diaper area
Sores in the diaper area
Discomfort, fussiness or crying, especially during diaper changes
"
Atopic Dermatitis,diaper Derm,https://my.clevelandclinic.org/health/diseases/11037-diaper-rash-diaper-dermatitis,"In mild cases, your baby may have slightly reddened skin around their buttocks, genitals and thighs. The area may be warm to the touch. The rash may be just a few spots, or it may cover the entire diaper area.

In more severe cases, the rash may include painful, open blisters or sores. If it gets infected, the rash may turn bright red and the skin around the area may get swollen."
Atopic Dermatitis,diaper Derm,https://en.wikipedia.org/wiki/Irritant_diaper_dermatitis,"Irritant diaper dermatitis (IDD, also called a diaper or nappy rash) is a generic term applied to skin rash in the diaper (in British and Australian English â€œnappyâ€) area that are caused by various skin disorders and/or irritants.
"
Atopic Dermatitis,diaper Derm,https://www.hopkinsmedicine.org/health/conditions-and-diseases/diaper-dermatitis,"The symptoms of diaper dermatitis vary depending on the cause. And symptoms can occur a bit differently in each child. They can include:

Contact diaper dermatitis. Skin that is irritated from urine and feces will look red and shiny. The skin on the buttocks, thighs, belly (abdomen), and waist may be affected. The skin creases or folds are usually not affected.
Candida diaper dermatitis. The skin is a deep red color with patches outside of the diaper area. A baby may also have a yeast infection in the mouth (thrush). The creases or folds of the thighs and in the diaper area are usually affected. 
Seborrheic diaper dermatitis. The skin is red with yellow, oily patches.Italso affects the skin folds. It also usually affects the face, scalp, or neck at the same time."
