,Disease,Symptoms
37,Atopic Dermatitis,"Dry skin is often temporary or seasonal â you might get it only in winter, for example â or you might need to treat it long term. Signs and symptoms of dry skin might vary based on your age, health status, skin tone, living environment and sun exposure. They include:
A feeling of skin tightness
Skin that feels and looks rough
Itchiness (pruritus)
Slight to severe flaking skin, which causes the ashy look that can affect dry brown and black skin
Slight to severe scaling or peeling
Cracked ""dry riverbed"" look to leg
Fine lines or cracks
Skin that ranges from reddish on white skin to grayish on brown and black skin
Deep cracks that may bleed
Most cases of dry skin respond well to lifestyle changes and home remedies. You may need help from your primary care doctor or a doctor who specializes in skin conditions (dermatologist) if:
You've tried self-care steps but your signs and symptoms persist
Your skin becomes inflamed or painful
You develop dry, thick skin as a side effect of cancer treatment
Your condition makes you so uncomfortable that you're losing sleep or are distracted from your daily routines
You have open sores or infections from scratching
You have large areas of scaly or peeling skin
Dry skin is due to water loss from the outer layer of skin. It might be caused by:
Heat. Central heating, wood-burning stoves, space heaters and fireplaces all reduce humidity.
Environment. Living in cold, windy conditions or low-humidity climates.
Too much bathing or scrubbing. Taking long, hot showers or baths or scrubbing your skin too much can dry your skin. Bathing more than once a day can remove the natural oils from your skin too.
Harsh soaps and detergents. Many popular soaps, detergents and shampoos strip moisture from your skin because they are formulated to remove oil.
Other skin conditions. People with skin conditions such as atopic dermatitis (eczema) or psoriasis are more likely to have dry skin.
Medical treatments. Some people develop dry, thick skin after undergoing treatment for cancer, receiving dialysis or taking certain medications.
Aging. As people age, the skin thins and produces less of the oils needed for the skin to retain water.
Anyone can develop dry skin. But you're more likely to develop the condition if you:
Are over 40, as the skin's ability to retain moisture diminishes with age
Live in cold, windy conditions or low-humidity climates
Have a job that requires you to immerse your hands in water, such as nursing or hairstyling
Use your hands to work with cement, clay or soil
Swim frequently in chlorinated pools
Have certain diseases or conditions, such as hypothyroidism, diabetes or malnutrition
Dry skin is usually harmless. But when it's not cared for, dry skin may lead to:
Atopic dermatitis (eczema). If you're prone to develop this condition, excessive dryness can lead to activation of the disease, causing a rash and cracking skin.
Infections. Dry skin may crack, allowing bacteria to enter, causing infections.
These complications are most likely to occur when your skin's protective mechanisms are severely compromised. For example, severely dry skin can cause deep cracks or fissures, which can open and bleed, providing an avenue for invading bacteria.Try these tips to help your skin retain moisture:
Moisturize. Moisturizer seals in water to help keep your skin's protective barrier healthy. Use moisturizer throughout the day, especially on the hands. And before going outdoors, use a moisturizer that contains sunblock or a broad-spectrum sunscreen with an SPF of at least 30, even on cloudy days. Apply sunscreen generously and reapply every two hours â or more often if you're swimming or sweating.
Limit water exposure. Keep bath and shower time to 10 minutes or less. Use warm, not hot, water. Rinse and pat dry. Try to bathe no more than once a day.
Use a gentle cleanser or allergen-free soap. Try a nonsoap cleansing cream or shower gel. Or use fragrance-free moisturizing soap with no alcohol or allergy-causing substances (hypoallergenic soap), especially if you handwash often. Rinse thoroughly and pat dry. Apply a moisturizing cream while your skin is still damp.
Shave with care. Shaving can be drying. If you shave, use a lubricating agent before you start. Shave in the direction of hair growth, unless that irritates your skin. Use a sharp blade and rinse it with warm water after each stroke. When done, apply moisturizer.
Cover as much skin as possible in cold or windy weather. Harsh weather can be especially drying to skin. Scarves, hats, and gloves or mittens help protect your skin when you're outdoors.
Wear gloves. Protect your hands with suitable gloves when gardening, using harsh cleansers and doing other skin-drying activities.
Rinse and moisturize after swimming. This is especially important if you've been swimming in a heavily chlorinated pool.
Drink when you're thirsty. Drink noncaffeinated beverages each day to help keep all your body's tissues, including your skin, well hydrated.
Bathe babies with care. For babies, using a cleanser every 1-2 weeks for bathing usually is enough. Otherwise, bathe them in just water. However, clean their diaper area with each diaper change. Apply a thin layer of petroleum jelly (Vaseline, Aquaphor, others) while the skin is still damp.


"
38,Atopic Dermatitis,"Keratosis pilaris can occur at any age, but it's more common in young children. Symptoms include:
Painless tiny bumps on the upper arms, thighs, cheeks or buttocks
Dry, rough skin in the areas with bumps
Worsening when seasonal changes cause low humidity and dry skin
Sandpaper-like bumps resembling goose flesh
Treatment for keratosis pilaris usually isn't needed. But if you're concerned about your or your child's skin, consult your health care provider or a specialist in skin conditions (dermatologist).Keratosis pilaris is caused by the buildup of keratin â a hard protein that protects skin from harmful substances and infection. The keratin blocks the opening of hair follicles, causing patches of rough, bumpy skin.It's not clear why keratin builds up in people with keratosis pilaris. It might happen along with a genetic disease or skin conditions such as atopic dermatitis. Dry skin tends to make keratosis pilaris worse.

"
31,Atopic Dermatitis,"Atopic dermatitis (eczema) symptoms can appear anywhere on the body and vary widely from person to person. They may include:
Dry, cracked skin
Itchiness (pruritus)
Rash on swollen skin that varies in color depending on your skin color
Small, raised bumps, on brown or Black skin
Oozing and crusting
Thickened skin
Darkening of the skin around the eyes
Raw, sensitive skin from scratching
Atopic dermatitis often begins before age 5 and may continue into the teen and adult years. For some people, it flares and then clears up for a time, even for several years.Talk with a health care provider if you or your child:
Has symptoms of atopic dermatitis
Is so uncomfortable that the condition is affecting sleep and daily activities
Has a skin infection â look for new streaks, pus, yellow scabs
Has symptoms even after trying self-care steps
Seek immediate medical attention if you or your child has a fever and the rash looks infected.In some people, atopic dermatitis is related to a gene variation that affects the skin's ability to provide protection. With a weak barrier function, the skin is less able to retain moisture and protect against bacteria, irritants, allergens and environmental factors â such as tobacco smoke.In other people, atopic dermatitis is caused by too much of the bacteria Staphylococcus aureus on the skin. This displaces helpful bacteria and disrupts the skin's barrier function.A weak skin barrier function might also trigger an immune system response that causes the inflamed skin and other symptoms.Atopic dermatitis (eczema) is one of several types of dermatitis. Other common types are contact dermatitis and seborrheic dermatitis (dandruff). Dermatitis isn't contagious.The main risk factor for atopic dermatitis is having had eczema, allergies, hay fever or asthma in the past. Having family members with these conditions also increases your risk.Complications of atopic dermatitis (eczema) may include:
Asthma and hay fever. Many people with atopic dermatitis develop asthma and hay fever. This can happen before or after developing atopic dermatitis.
Food allergies. People with atopic dermatitis often develop food allergies. One of the main symptoms of this condition is hives (urticaria).
Chronic itchy, scaly skin. A skin condition called neurodermatitis (lichen simplex chronicus) starts with a patch of itchy skin. You scratch the area, which provides only temporary relief. Scratching actually makes the skin itchier because it activates the nerve fibers in your skin. Over time, you may scratch out of habit. This condition can cause the affected skin to become discolored, thick and leathery.
Patches of skin that's darker or lighter than the surrounding area. This complication after the rash has healed is called post-inflammatory hyperpigmentation or hypopigmentation. It's more common in people with brown or Black skin. It might take several months for the discoloration to fade.
Skin infections. Repeated scratching that breaks the skin can cause open sores and cracks. These increase the risk of infection from bacteria and viruses. These skin infections can spread and become life-threatening.
Irritant hand dermatitis. This especially affects people whose hands are often wet and exposed to harsh soaps, detergents and disinfectant at work.
Allergic contact dermatitis. This condition is common in people with atopic dermatitis. Allergic contact dermatitis is an itchy rash caused by touching substances you're allergic to. The color of the rash varies depending on your skin color.
Sleep problems. The itchiness of atopic dermatitis can interfere with sleep.
Mental health conditions. Atopic dermatitis is associated with depression and anxiety. This may be related to the constant itching and sleep problems common among people with atopic dermatitis.
Developing a basic skin care routine may help prevent eczema flares. The following tips may help reduce the drying effects of bathing:

Moisturize your skin at least twice a day. Creams, ointments, shea butter and lotions seal in moisture. Choose a product or products that work well for you. Ideally, the best one for you will be safe, effective, affordable and unscented.
Using petroleum jelly on your baby's skin may help prevent development of atopic dermatitis.

Take a daily bath or shower. Use warm, rather than hot, water and limit your bath or shower to about 10 minutes.
Use a gentle, nonsoap cleanser. Choose a cleanser that's free of dyes, alcohols and fragrance. For young children, you usually need only warm water to get them clean â no soap or bubble bath needed. Soap can be especially irritating to the skin of young children. For people of any age, deodorant soaps and antibacterial soaps can remove too much of the skin's natural oils and dry the skin. Don't scrub the skin with a washcloth or loofah.
Pat dry. After bathing, gently pat the skin with a soft towel. Apply moisturizer while your skin is still damp (within three minutes).
The triggers for atopic dermatitis vary widely from person to person. Try to identify and avoid irritants that trigger your eczema. In general, avoid anything that causes an itch because scratching often triggers a flare.Common triggers for atopic dermatitis include:
Rough wool fabric
Dry skin
Skin infection
Heat and sweat
Stress
Cleaning products
Dust mites and pet dander
Mold
Pollen
Smoke from tobacco
Cold and dry air
Fragrances
Other irritating chemicals
Infants and children may have flares triggered by eating certain foods, such as eggs and cow's milk. Talk with your child's health care provider about identifying potential food allergies.Once you understand what triggers your eczema, talk with your health care provider about how to manage your symptoms and prevent flares.

"
402,Atopic Dermatitis,"Affected babies may have very red skin (erythroderma) and severe blisters. As affected individuals get older, blistering is less frequent, erythroderma becomes less evident, and the skin becomes thick (hyperkeratotic), especially over joints, on areas of skin that come into contact with each other, or on the scalp or neck. This thickened skin is usually darker than normal. Bacteria can grow in the thick skin, often causing a distinct odor."
434,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
432,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
80,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
81,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
82,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
83,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
84,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
85,Atopic Dermatitis,"Dry skin is skin that doesnât have enough moisture in it to keep it feeling soft. The medical term for dry skin is xeroderma (pronounced âze-ROW-derm-ahâ). Xerosis (pronounced âze-ROW-sisâ) is severely dry skin. Dry skin feels like rough patches of your skin that can flake or look scaly. If your skin is dry, it may or may not be itchy (pruritis). Severe dry skin may crack and bleed."
373,Atopic Dermatitis,"Symptoms can occur a bit differently in each person. They can include small, hard bumps on the back of the upper arms, thighs, buttocks, or cheeks. They often dont itch or cause pain. The bumps may have pale, dry skin scales on top. They may look red. Some of the bumps may have a hair from the follicle twisted inside them."
79,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
400,Atopic Dermatitis,"Symptoms may include:Small bumps that look like ""goose bumps"" on the back of the upper arms and thighsBumps feel like very rough sandpaperSkin-colored bumps are the size of a grain of sandSlight pinkness may be seen around some bumpsBumps may appear on the face and be mistaken for acne "
392,Atopic Dermatitis,"Most types cause dry, itchy skin and rashes on the face, inside the elbows and behind the knees, and on the hands and feet. Scratching the skin can cause it to turn red, and to swell and itch even more."
398,Atopic Dermatitis,"Skin changes may include:Blisters with oozing and crustingDry skin all over the body, or areas of bumpy skin on the back of the arms and front of the thighsEar discharge or bleedingRaw areas of the skin from scratchingSkin color changes, such as more or less color than the normal skin toneSkin redness or inflammation around the blistersThickened or leather-like areas, which can occur after long-term irritation and scratching The type and location of the rash can depend on the age of the person:In children younger than age 2, the rash may begin on the face, scalp, hands, and feet. The rash is often itchy and forms blisters that ooze and crust over.In older children and adults, the rash is more often seen on the inside of the knees and elbow. It can also appear on the neck, hands, and feet.In adults, the rash may be limited to the hands, eyelids, or genitals.Rashes may occur anywhere on the body during a bad outbreak. Intense itching is common. Itching may start even before the rash appears. Atopic dermatitis is often called the ""itch that rashes"" because the itching starts, and then the skin rash follows as a result of scratching."
397,Atopic Dermatitis,"dry, itchy skin and red rashes that come and go. The rashes can occur on any part of the body, although the pattern tends to be different at different ages. In affected infants, the rashes commonly occur on the face, scalp, hands, and feet. In children, the rashes are usually found in the bend of the elbows and knees and on the front of the neck. In adolescents and adults, the rashes typically occur on the wrists, ankles, and eyelids in addition to the bend of the elbows and knees. Scratching the itchy skin can lead to oozing and crusting of the rashes and thickening and hardening (lichenification) of the skin. The itchiness can be so severe as to disturb sleep and impair a person's quality of life."
394,Atopic Dermatitis,"Symptoms may include any of the following:Dry skin, severeScaly skin (scales)Possible skin thickeningMild itching of the skin The dry, scaly skin is usually most severe on the legs. But it can also involve the arms, hands, and middle of the body. People with this condition may also have many fine lines on their palms.In infants, the skin changes usually appear in the first year of life. Early on, the skin is only slightly rough, but by the time a baby is about 3 months old, they begin appearing on the shins and back of the arms."
395,Atopic Dermatitis,"Skin changes may include:Blisters with oozing and crustingDry skin all over the body, or areas of bumpy skin on the back of the arms and front of the thighsEar discharge or bleedingRaw areas of the skin from scratchingSkin color changes, such as more or less color than the normal skin toneSkin redness or inflammation around the blistersThickened or leather-like areas, which can occur after long-term irritation and scratching The type and location of the rash can depend on the age of the person:In children younger than age 2, the rash may begin on the face, scalp, hands, and feet. The rash is often itchy and forms blisters that ooze and crust over.In older children and adults, the rash is more often seen on the inside of the knees and elbow. It can also appear on the neck, hands, and feet.In adults, the rash may be limited to the hands, eyelids, or genitals.Rashes may occur anywhere on the body during a bad outbreak. Intense itching is common. Itching may start even before the rash appears. Atopic dermatitis is often called the ""itch that rashes"" because the itching starts, and then the skin rash follows as a result of scratching."
396,Atopic Dermatitis,"Skin changes may include:Blisters with oozing and crustingDry skin all over the body, or areas of bumpy skin on the back of the arms and front of the thighsEar discharge or bleedingRaw areas of the skin from scratchingSkin color changes, such as more or less color than the normal skin toneSkin redness or inflammation around the blistersThickened or leather-like areas, which can occur after long-term irritation and scratching The type and location of the rash can depend on the age of the person:In children younger than age 2, the rash may begin on the face, scalp, hands, and feet. The rash is often itchy and forms blisters that ooze and crust over.In older children and adults, the rash is more often seen on the inside of the knees and elbow. It can also appear on the neck, hands, and feet.In adults, the rash may be limited to the hands, eyelids, or genitals.Rashes may occur anywhere on the body during a bad outbreak. Intense itching is common. Itching may start even before the rash appears. Atopic dermatitis is often called the ""itch that rashes"" because the itching starts, and then the skin rash follows as a result of scratching."
393,Atopic Dermatitis,"Symptoms vary, depending on the cause and whether the dermatitis is due to an allergic reaction or an irritant. The same person may also have different symptoms over time.Allergic reactions may occur suddenly, or develop after months or years of exposure. Contact dermatitis often occurs on the hands. Hair products, cosmetics, and perfumes can lead to skin reactions on the face, head, and neck. Jewelry can also cause skin problems in the area under it.Itching is a common symptom. In the case of an allergic dermatitis, itching can be severe. You may have red, streaky, or patchy rash where the substance touched the skin. The allergic reaction is often delayed so that the rash may not appear until 24 to 48 hours after exposure. The rash may:Have red bumps that may form moist, weeping blistersFeel warm and tenderOoze, drain, or crustBecome scaly, raw, or thickened Dermatitis caused by an irritant may also cause burning or pain as well as itching. Irritant dermatitis often shows as dry, red, and rough skin. Cuts (fissures) may form on the hands. Skin may become inflamed with long-term exposure."
203,Atopic Dermatitis,"Atopic dermatitis, or eczema, is often called the itch that rashes. This description explains what happens when the condition begins. It tends to start suddenly with very itchy skin. Scratching the itchy skin often causes a rash.

A rash may develop on one or several areas of the skin.

Once atopic dermatitis begins, you may notice one or more of the following:

Itchy skin

Dry, scaly areas

Red rash (especially on lighter skin tones)

Small, rough bumps (more common in darker skin tones)

Dark brown, purple, or grayish areas of skin (darker skin tones)

Skin feels warm and maybe swollen (inflammation)

Scratch marks

Raw skin from scratching

Bumps or rashes leaking fluid

Blisters that ooze and crust over

After healing, skin may be lighter or darker where you had atopic dermatitis

Flare-ups can come and go for years. While the skin is healing in one area, flare-ups may occur in other areas. The flare-ups can also occur in the same place again and again.

Flare-ups can wax and wane or stop for a while and then start up.

Over time, atopic dermatitis can cause the skin to become:

Thickened, scaly, and leathery

Cracked"
78,Atopic Dermatitis,"Atopic dermatitis is a chronic condition that causes itchy skin that gets dry and scaly. It tends to come and go and may only be in childhood or may affect you your entire life. In people with light-colored skin, atopic dermatitis looks like red rashes. People with darker skin may develop brown, purple or gray rashes."
77,Atopic Dermatitis,"Ichthyosis is a skin disease with more than 20 varieties. Ichthyosis vulgaris is the most common and mildest form of ichthyosis. Symptoms include dry, itchy skin and scales. Causes, diagnosis and treatment are explained."
76,Atopic Dermatitis,"Eyelid dermatitis develops when the folds of skin above and below your eyes come into contact with an allergen or irritant. Itâs a form of contact dermatitis. The symptoms are annoying, but shouldnât interfere with your daily life."
431,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
430,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
429,Atopic Dermatitis,"The main symptom of ichthyosis is very dry, scaly skin that may also be thick and rough.It usually affects large areas of the body including the arms, legs, torso, ears, face, or the whole body.The symptoms are often there from birth, but they can also appear after a few months or years. Sometimes the symptoms appear later in life because of another health condition, or from taking certain medicines.Ichthyosis can sometimes have more severe symptoms, including:blistered skina thin yellow, shiny layer on the skin at birth that dries out and flakes offhair losstight skin which can make moving the affected area painfulskin infectionssweating less, which can lead to overheatingproblems with hearing or eyesight"
428,Atopic Dermatitis,"Paget's disease of the nipple always starts in the nipple and may extend to the areola. ItÂ appears as a red, scalyÂ rash on the skin of theÂ nipple and areola.The affected skin is often sore and inflamed, and it can be itchy or cause a burning sensation. The nipple can sometimes be ulcerated.The rash is often similar in appearance to other skin conditions, such asÂ eczema or psoriasis. If you scratch it, or if it's left untreated, it can bleed, become ulcerated or scab over.If you're experiencing itchiness, burning or bleeding but the nipple looks normal and is not red or scaly, it's unlikely to be Paget's diseaseÂ of the nipple. However, you should still have it checked by a doctor.Around half of all women diagnosed with Paget's disease of the nipple have aÂ lump behind the nipple. In 9 out of 10 cases this is an invasive breast cancer.Invasive cancer is where cancerous cells invade the surrounding breast tissue.Â Some women with Paget's disease have invasive breast cancer but do not have a lump.However, most women with Paget's disease who do not have a lump have non-invasive cancer.This is where the cancerous cells are contained in 1 or more areas of the breast and have not spread."
427,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
426,Atopic Dermatitis,"Paget's disease of the nipple always starts in the nipple and may extend to the areola. ItÂ appears as a red, scalyÂ rash on the skin of theÂ nipple and areola.The affected skin is often sore and inflamed, and it can be itchy or cause a burning sensation. The nipple can sometimes be ulcerated.The rash is often similar in appearance to other skin conditions, such asÂ eczema or psoriasis. If you scratch it, or if it's left untreated, it can bleed, become ulcerated or scab over.If you're experiencing itchiness, burning or bleeding but the nipple looks normal and is not red or scaly, it's unlikely to be Paget's diseaseÂ of the nipple. However, you should still have it checked by a doctor.Around half of all women diagnosed with Paget's disease of the nipple have aÂ lump behind the nipple. In 9 out of 10 cases this is an invasive breast cancer.Invasive cancer is where cancerous cells invade the surrounding breast tissue.Â Some women with Paget's disease have invasive breast cancer but do not have a lump.However, most women with Paget's disease who do not have a lump have non-invasive cancer.This is where the cancerous cells are contained in 1 or more areas of the breast and have not spread."
425,Atopic Dermatitis,"Contact dermatitis causes the skin to become itchy, blistered, dry and cracked.Lighter skin can become red, and darker skin can become dark brown, purple or grey.This reaction usually occurs within a few hours or days of exposure to an irritant or allergen.SymptomsÂ can affect any part of the body but most commonly the hands and face.Read about symptoms of contact dermatitis"
424,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
433,Atopic Dermatitis,"Atopic eczemaÂ causes the skin to become itchy, dry, cracked and sore.Some people only have small patches of dry skin, but others may experience widespread inflamed skin all over the body.Inflamed skin can look red on white skin, and darker brown, purple or grey on brown and black skin. This means it may also be more difficult to see on brown and black skin.Although atopic eczema can affect any part of the body,Â it most often affects the hands, insides of the elbows, backs of the knees and the face and scalp in children.People with atopic eczema usuallyÂ have periods when symptoms are less noticeable, as well as periods when symptoms become more severe (flare-ups)."
401,Atopic Dermatitis,"The problem areas on the skin (lesions) often start as slightly red and scaly patches that are round or oval. They usually appear on the face, upper arms, neck, and upper middle of the body. After these lesions go away, the patches turn light-colored (hypopigmented).The patches do not tan easily. Because of this, they may get red quickly in the sun. As the skin surrounding the patches darkens normally, the patches may become more visible."
43,Atopic Dermatitis,"Keratosis pilaris can occur at any age, but it's more common in young children. Symptoms include:
Painless tiny bumps on the upper arms, thighs, cheeks or buttocks
Dry, rough skin in the areas with bumps
Worsening when seasonal changes cause low humidity and dry skin
Sandpaper-like bumps resembling goose flesh
Treatment for keratosis pilaris usually isn't needed. But if you're concerned about your or your child's skin, consult your health care provider or a specialist in skin conditions (dermatologist).Keratosis pilaris is caused by the buildup of keratin â a hard protein that protects skin from harmful substances and infection. The keratin blocks the opening of hair follicles, causing patches of rough, bumpy skin.It's not clear why keratin builds up in people with keratosis pilaris. It might happen along with a genetic disease or skin conditions such as atopic dermatitis. Dry skin tends to make keratosis pilaris worse.

"
399,Atopic Dermatitis,"Dry skin can be caused by:Cold, dry winter airFurnaces that heat the air and remove moistureHot, dry air in desert environmentsAir conditioners that cool the air and remove moistureTaking long, hot baths or showers frequentlyWashing your hands oftenSome soaps and detergentsSkin conditions, such as eczema and psoriasisCertain medicines (both topical and oral)Aging, during which skin gets thinner and produces less natural oil "
372,Atopic Dermatitis,"Symptoms can occur a bit differently in each person. They can include small, hard bumps on the back of the upper arms, thighs, buttocks, or cheeks. They often dont itch or cause pain. The bumps may have pale, dry skin scales on top. They may look red. Some of the bumps may have a hair from the follicle twisted inside them."
371,Atopic Dermatitis,"Symptoms can occur a bit differently in each person. They can include small, hard bumps on the back of the upper arms, thighs, buttocks, or cheeks. They often dont itch or cause pain. The bumps may have pale, dry skin scales on top. They may look red. Some of the bumps may have a hair from the follicle twisted inside them."
370,Atopic Dermatitis,"Be slightly raised from the surrounding skin
Be white or light tan in appearance, which may darken to brown or black
Have a waxy, pasted-on look
Look scaly or like a wart
Be well-defined from the surrounding skin
Not usually cause pain but may sometimes itch a little"
74,Atopic Dermatitis,"Eczema is a skin condition that causes dry and itchy patches of skin. Itâs a common condition that isnât contagious. Symptoms of eczema can flare up if you contact an irritant or an allergen. There are treatments available to help you manage symptoms, but there isnât a cure."
75,Atopic Dermatitis,"Breast eczema (atopic dermatitis) is a condition that causes your skin to become dry, discolored, itchy and bumpy. It may appear in the dark areas around your nipples (areolas), between your breasts, under your breasts, on the sides of your breasts or elsewhere on your chest."
263,Atopic Dermatitis,"  Actinic keratoses often have adherent scales and are sometimes more easily felt than seen. Actinic keratoses can appear thickened or hypertrophic and sometimes form a cutaneous horn. They may be pink, red, or, less commonly, gray or brown. Lesions frequently develop in sun-exposed areas (eg, balding scalp, face, lateral neck, distal upper or lower extremities). Diffuse involvement of the lip is called actinic cheilitis     Cheilitis (lip inflammation)  Lip inflammation may be generalized, or localized to one or more ulcers or lesions. Although some swelling may be present, the main manifestation is discomfort. Lip swelling with little or no...  read more        . "
289,Atopic Dermatitis," runny nose, sneezing, itchy eyes, scratchy throat, hives, and itchy burning sensations. However, it can involve more severe symptoms, such as asthma, marked by difficult breathing, coughing spells, and wheezing; cardiovascular and gastrointestinal ailments; and in rare cases, anaphylaxis and death."
